51,tehran,طرشت,51.3437355,35.7160907,شهید گلاب - خیابان چوب تراش
52,tehran,صادقیه,51.3309145,35.7175977,فلکه دوم صادقیه - خیابان محمد علی جناح  - خیابان سازمان آب
53,tehran,شهید باهنر,51.4518499,35.8129585,استان فارس، شهرستان اقلید، بخش حسن آباد
54,tehran,نیاوران,51.4705932,35.810244,استان تهران، تهران
55,tehran,قائم,51.5207613,35.7988627,بلوار ارتش خیابان ابوذر ابتدای کوچه ابوذر
56,tehran,شهید محلاتی,51.5080261,35.79754,بلوار ارتش غرب (شمالی) ورودی شهرک شهید محلاتی
57,tehran,اقدسیه,51.4837039,35.8005856,ضلع جنوبی بلوار شهیدان موحد دانش (اقدسیه) -نبش بن بست ندا
58,tehran,نوبنیاد,51.4786613,35.7906999,میدان نوبنیاد جنب تاکسیرانی
59,tehran,حسین آباد,51.478672,35.7791505,بزرگراه شهید صیادشیرازی، خیابان وفامنش تقاطع مژده
60,tehran,هروی,51.4732003,35.7720128,ضلع جنوب به شمال اتوبان شهید صیاد شیرازی جنب اتوبان روبروی بیمارستان گلستان
61,tehran,شهید زین الدین,51.4656204,35.7607392,پاسداران خیابان گیلان ایستگاه مترو شهید زین الدین
62,tehran,خواجه عبدالله انصاری,51.4634585,35.7434645,تقاطع خیابان  خواجه عبدالله انصاری و خیابان  بنی هاشم
63,tehran,شهید صیاد شیرازی,51.4584589,35.7354006,اتوبان شهید صیاد خروجی مسیل باختر جنب ورودی تره بار
64,tehran,قدوسی,51.4446563,35.7315773,خیابان دکتر شریعتی ابتدای خیابان شهید بهشتی
65,tehran,سهروردی,51.4374197,35.7312463,خیابان شهید بهشتی تقاطع خیابان سهروردی شمالی
66,tehran,بهشتی,51.427002,35.7312202,خیابان شهید بهشتی ابتدای خیابان شهید مفتح
67,tehran,میرزای شیرازی,51.4174747,35.7280848,خیابان شهید بهشتی بین خیابان قائم مقام فراهانی و میرزای شیرازی نبش کوچه ایزد
68,tehran,میدان جهاد,51.4082479,35.7206987,تقاطع خیابانهای ولیعصر و دکتر فاطمی
69,tehran,میدان ولیعصر,51.4076042,35.7120923,میدان ولیعصر
70,tehran,تئاتر شهر,51.4053243,35.7010193,تقاطع خیابان انقلاب و خیابان ولیعصر(عج)
71,tehran,منیریه,51.4015961,35.6811086,میدان منیریه
72,tehran,مهدیه,51.3993645,35.6672334,خیابان ولیعصر -تقاطع خیابان مولوی
73,tehran,راه آهن,51.397562,35.6597022,میدان راه آهن
74,tehran,جوادیه,51.3882333,35.6591835,بزرگراه شهید آیت اله ایروانی ، پارک شهید حججی
